command,mean,stddev,median,user,system,min,max,parameter_num_threads
./cpp/mandelbrot.out 1 < mandelbrot.in > out/220905104019/cpp.out,6.883943080100002,0.01909714998167399,6.8794602426,6.830465579999999,0.04549088,6.8651820756,6.931134950600001,1
./cpp/mandelbrot.out 2 < mandelbrot.in > out/220905104019/cpp.out,3.7390045008,0.01883780230671432,3.7380506176,7.01425278,0.039293579999999995,3.7179764505999997,3.7701220756,2
./cpp/mandelbrot.out 3 < mandelbrot.in > out/220905104019/cpp.out,2.6628982467999998,0.02061625168604096,2.6541013471,7.134520480000001,0.04309057999999999,2.6473034506,2.7113852846,3
./cpp/mandelbrot.out 4 < mandelbrot.in > out/220905104019/cpp.out,2.0944324758999997,0.008902496323049458,2.0917899716,7.13923278,0.03070518,2.0831573255999998,2.1087122006,4
./cpp/mandelbrot.out 5 < mandelbrot.in > out/220905104019/cpp.out,1.7863514343000002,0.03276167113306549,1.7772843051,7.19508908,0.03664788,1.7603396596,1.8735761596,5
./cpp/mandelbrot.out 6 < mandelbrot.in > out/220905104019/cpp.out,1.61202143,0.06730676904557274,1.6019953051,7.29700848,0.03848317999999999,1.5580019926000002,1.7843530346,6
./cpp/mandelbrot.out 7 < mandelbrot.in > out/220905104019/cpp.out,1.5794163258,0.10539782972694482,1.5628811176,7.770730379999999,0.04963738,1.4978664506,1.8593995756000001,7
./cpp/mandelbrot.out 8 < mandelbrot.in > out/220905104019/cpp.out,1.5306505342,0.06358737212537896,1.4976730136,8.082228879999999,0.053535879999999994,1.4657720756000001,1.6415225756,8
./cpp/mandelbrot.out 9 < mandelbrot.in > out/220905104019/cpp.out,1.5830704218,0.08279320662611656,1.5811879096,8.060955679999998,0.06108968,1.4989729506,1.7249020756,9
./cpp/mandelbrot.out 10 < mandelbrot.in > out/220905104019/cpp.out,1.5170312426,0.028490954254817787,1.5176851591,8.14233248,0.04710208,1.4788002426,1.5536517846000002,10
./cpp/mandelbrot.out 11 < mandelbrot.in > out/220905104019/cpp.out,1.5308565635,0.0230124483202369,1.5316093051,8.146550779999997,0.050324579999999994,1.4960004926000001,1.5654689926,11
./cpp/mandelbrot.out 12 < mandelbrot.in > out/220905104019/cpp.out,1.5264617299999999,0.03925379093314,1.5223634926,8.09401008,0.052126679999999995,1.4662579926000001,1.5944799506,12
./cpp/mandelbrot.out 13 < mandelbrot.in > out/220905104019/cpp.out,1.5384730136000002,0.07083241969077253,1.5313650761000002,8.16546698,0.051753479999999984,1.4675712426,1.6819910346,13
./cpp/mandelbrot.out 14 < mandelbrot.in > out/220905104019/cpp.out,1.5152836176,0.04090355269068472,1.5038192216000001,8.23416358,0.049037779999999996,1.4671686176,1.5988144926,14
./cpp/mandelbrot.out 15 < mandelbrot.in > out/220905104019/cpp.out,1.5184153094000001,0.05244784849105797,1.4970593261,8.13044728,0.051041579999999996,1.4759439096,1.6497079096,15
./cpp/mandelbrot.out 16 < mandelbrot.in > out/220905104019/cpp.out,1.4868257801,0.022718220795810894,1.4831528051,8.267863980000001,0.042221079999999994,1.4572437006,1.5322755756000002,16
