command,mean,stddev,median,user,system,min,max,parameter_num_threads
./rust/target/release/mandelbrot 1 < mandelbrot.in > out/220905104019/rust.out,6.685561910760001,0.029795223022993558,6.690789623360001,6.585987399999999,0.07997154,6.64707358136,6.72106574836,1
./rust/target/release/mandelbrot 2 < mandelbrot.in > out/220905104019/rust.out,3.60758148596,0.00824110857927953,3.60530864436,6.721234699999999,0.058285739999999996,3.59871662336,3.62851208136,2
./rust/target/release/mandelbrot 3 < mandelbrot.in > out/220905104019/rust.out,2.60295816916,0.015493436524534922,2.59792024836,6.890204,0.052462739999999994,2.5954834983599997,2.64672916536,3
./rust/target/release/mandelbrot 4 < mandelbrot.in > out/220905104019/rust.out,2.05728117326,0.02368605317193611,2.05245787336,6.821998600000001,0.05020764,2.02543808136,2.0941055403599997,4
./rust/target/release/mandelbrot 5 < mandelbrot.in > out/220905104019/rust.out,1.7282452399600001,0.013306855083996705,1.72558670636,6.8566509,0.05263224,1.7148524153599998,1.7605133733599998,5
./rust/target/release/mandelbrot 6 < mandelbrot.in > out/220905104019/rust.out,1.5645721775599999,0.05484944513960711,1.53981412336,6.960556199999999,0.05302503999999999,1.51515233136,1.6490095403599998,6
./rust/target/release/mandelbrot 7 < mandelbrot.in > out/220905104019/rust.out,1.47384338586,0.029613930256541816,1.46745124836,7.320217099999999,0.06463284,1.4434815403599999,1.54266091536,7
./rust/target/release/mandelbrot 8 < mandelbrot.in > out/220905104019/rust.out,1.4289039442599998,0.025584453761155222,1.4193727483599998,7.591692599999999,0.062119139999999996,1.39534379036,1.48029529036,8
./rust/target/release/mandelbrot 9 < mandelbrot.in > out/220905104019/rust.out,1.44393517326,0.031444626739761936,1.4331109983599999,7.589870499999999,0.06314434,1.4104313313599999,1.5012868733599998,9
./rust/target/release/mandelbrot 10 < mandelbrot.in > out/220905104019/rust.out,1.4296030817599998,0.03374670439358699,1.4206323108599999,7.544631,0.06822453999999999,1.37735149836,1.49535633136,10
./rust/target/release/mandelbrot 11 < mandelbrot.in > out/220905104019/rust.out,1.43197961926,0.019358015949161915,1.42964535286,7.561120999999998,0.06667843999999999,1.40510416536,1.45883637336,11
./rust/target/release/mandelbrot 12 < mandelbrot.in > out/220905104019/rust.out,1.4712674484600001,0.03558287288581497,1.48048235236,7.508782599999999,0.07408673999999998,1.40261654036,1.52599316536,12
./rust/target/release/mandelbrot 13 < mandelbrot.in > out/220905104019/rust.out,1.4541573275599997,0.06508954460030904,1.43303645686,7.558761,0.06882844,1.3856468733599998,1.6013429983599998,13
./rust/target/release/mandelbrot 14 < mandelbrot.in > out/220905104019/rust.out,1.4458995857599999,0.02854410309971019,1.44952714386,7.576179999999999,0.06824793999999999,1.38940195636,1.48028824836,14
./rust/target/release/mandelbrot 15 < mandelbrot.in > out/220905104019/rust.out,1.4347239649600003,0.032285948201847936,1.41816949836,7.603463799999998,0.07115343999999998,1.40644891536,1.5047196233599998,15
./rust/target/release/mandelbrot 16 < mandelbrot.in > out/220905104019/rust.out,1.5058100151600002,0.10776920524462698,1.49711010286,7.5521859,0.07996924,1.3980388313599998,1.72880741536,16
