command,mean,stddev,median,user,system,min,max,parameter_num_threads
./rust/target/release/mandelbrot 1 < mandelbrot.in > out/220907003457/rust.out,58.83327976989999,0.21825877360128612,58.8167509783,58.57557202,0.20250328,58.6238589783,59.2079986863,1
./rust/target/release/mandelbrot 2 < mandelbrot.in > out/220907003457/rust.out,30.405580990699995,0.08558918979779621,30.3787726658,60.29969201999999,0.10826977999999998,30.373098478299998,30.648967520299998,2
./rust/target/release/mandelbrot 3 < mandelbrot.in > out/220907003457/rust.out,21.4567823491,0.4904382028121762,21.302539478299998,61.899031619999995,0.09416928,21.2917240203,22.8524252703,3
./rust/target/release/mandelbrot 4 < mandelbrot.in > out/220907003457/rust.out,15.739158019999996,0.0191440491469922,15.741007228299999,61.43999501999999,0.08549527999999998,15.7084272703,15.7608967283,4
./rust/target/release/mandelbrot 5 < mandelbrot.in > out/220907003457/rust.out,12.603567928299999,0.0013304314038793067,12.6032775823,61.40516352000001,0.08410327999999999,12.6018086863,12.6058761033,5
./rust/target/release/mandelbrot 6 < mandelbrot.in > out/220907003457/rust.out,11.0907679742,0.782615533515981,10.712324332800002,62.37991122,0.08719217999999998,10.690503103300001,12.788594145300001,6
./rust/target/release/mandelbrot 7 < mandelbrot.in > out/220907003457/rust.out,9.857634574000002,0.11979453417485701,9.8059370203,65.93383322,0.09844067999999999,9.7854015613,10.1330428113,7
./rust/target/release/mandelbrot 8 < mandelbrot.in > out/220907003457/rust.out,9.236313315900002,0.19481767997379146,9.1192364158,68.81882632,0.10756647999999998,9.0797343113,9.5208667703,8
./rust/target/release/mandelbrot 9 < mandelbrot.in > out/220907003457/rust.out,9.1079877284,0.049812418402435055,9.0870028533,68.96904072,0.11400658,9.0684643953,9.2248069363,9
./rust/target/release/mandelbrot 10 < mandelbrot.in > out/220907003457/rust.out,9.093289953300001,0.031963415301693575,9.0827277698,68.96369172,0.11319947999999999,9.0666760613,9.164550353300001,10
./rust/target/release/mandelbrot 11 < mandelbrot.in > out/220907003457/rust.out,9.17014657,0.13095401384169045,9.1389596033,68.93657332000001,0.11770398,9.0817282703,9.5286292703,11
./rust/target/release/mandelbrot 12 < mandelbrot.in > out/220907003457/rust.out,9.135384207600001,0.0750876419055712,9.0982435408,68.92878112000001,0.11871057999999998,9.0717128533,9.2692835203,12
./rust/target/release/mandelbrot 13 < mandelbrot.in > out/220907003457/rust.out,9.094463749099999,0.016683996606071026,9.0983067073,68.93052782,0.12174437999999999,9.0664493953,9.1141925613,13
./rust/target/release/mandelbrot 14 < mandelbrot.in > out/220907003457/rust.out,9.0951904283,0.0169320394850451,9.092912811800002,68.92965832,0.12134878,9.0726847703,9.1320403113,14
./rust/target/release/mandelbrot 15 < mandelbrot.in > out/220907003457/rust.out,9.139625245000001,0.04608883343351761,9.1525732078,68.92242162,0.12437868,9.0749691033,9.2076436863,15
./rust/target/release/mandelbrot 16 < mandelbrot.in > out/220907003457/rust.out,9.1689735616,0.11198689661086056,9.0989782908,68.92623202,0.12704958,9.0767714363,9.349140395300001,16
